address,city,area,state_county,zip_code,country,price,property_id,property_size,rooms,bedrooms,bathrooms,features,extraction_date
 42701,Halifax,Mainland Southwest,Nova Scotia,B3L 1C7,Canada,1895,42701,700 ft,1,1,1,"balcony, Fridge & Stove Included, Heat & Hot Water Included, Dishwasher, Close to all Hospitals, Over The Range Microwave",2024-03-15
 38496,Halifax,Peninsular North,Nova Scotia,B3K 1K1,Canada,1995,38496,,1,1,1,"balcony, Fridge & Stove Included, Heat & Hot Water Included, Dishwasher, Located in the heart of downtown Halifax, On Bus Route, Pharmacy, Restaurants, Coffee Shops, Over The Range Microwave",2024-03-15
 28299,Dartmouth,Dartmouth,Nova Scotia,,Canada,1795,28299,,,1,1,"balcony, Fridge & Stove Included, Heat & Hot Water Included, Dishwasher",2024-03-15
 36579,Halifax,Clayton Park,Nova Scotia,B3M 1G8,Canada,1795,36579,750 ft,1,1,1,"Fridge & Stove Included, Heat & Hot Water Included, Dishwasher, Over The Range Microwave",2024-03-15
 39716,Dartmouth,Dartmouth,Nova Scotia,B3A 4M6,Canada,1695,39716,750 ft,1,1,1,"balcony, Fridge & Stove Included, Heat & Hot Water Included, Dishwasher, Quiet neighbourhood, On Bus Route",2024-03-15
 40722,Halifax,Downtown Halifax,Nova Scotia,,Canada,1995,40722,,1,1,1,"balcony, laundry, Fridge & Stove Included, Dishwasher, Close to all Hospitals, Located in the heart of downtown Halifax, On Bus Route, Pharmacy, Restaurants, Banks, Coffee Shops, Post Office, Over The Range Microwave, Close to Universities and Colleges",2024-03-15
 40004,Dartmouth,Dartmouth,Nova Scotia,B3A 4M6,Canada,1795,40004,750 ft,1,1,1,"balcony, Fridge & Stove Included, Heat & Hot Water Included, Dishwasher, Over The Range Microwave",2024-03-15
 41553,Halifax,Downtown Halifax,Nova Scotia,,Canada,2395,41553,,2,2,1,"balcony, laundry, Fridge & Stove Included, Dishwasher, Close to all Hospitals, Located in the heart of downtown Halifax, On Bus Route, Bus Terminal, Pharmacy, Restaurants, Banks, Coffee Shops, Post Office, Over The Range Microwave, Close to Universities and Colleges",2024-03-15
 41776,Halifax,Downtown Halifax,Nova Scotia,,Canada,1995,41776,,2,1,1,"balcony, laundry, Fridge & Stove Included, Dishwasher, Close to all Hospitals, Located in the heart of downtown Halifax, On Bus Route, Pharmacy, Restaurants, Banks, Coffee Shops, Post Office, Over The Range Microwave, Close to Universities and Colleges",2024-03-15
 39293,Halifax,Peninsular North,Nova Scotia,B3K 1K1,Canada,1995,39293,,1,1,1,"balcony, Fridge & Stove Included, Heat & Hot Water Included, Close to all Hospitals, Located in the heart of downtown Halifax, On Bus Route, Bus Terminal, Pharmacy, Restaurants, Banks, Coffee Shops",2024-03-15
 33128,Dartmouth,Dartmouth,Nova Scotia,B3A 4M6,Canada,1950,33128,750 ft,,2,1,"balcony, Fridge & Stove Included, Heat & Hot Water Included, Dishwasher, Quiet neighbourhood, Over The Range Microwave",2024-03-15
